department,headcount,observed_attrition_rate,avg_predicted_attrition,high_risk_employees,exposure_index,exposure_per_100_employees,selected_threshold,model_mode
sales,3239,0.16980549552330967,0.20348418,624,749.2445911793617,23.131972558794743,0.29,operational
technical,2244,0.17379679144385027,0.20378967,447,516.6791117367662,23.024915852797072,0.29,operational
support,1821,0.171334431630972,0.20300159,368,417.38498322669915,22.920647074502973,0.29,operational
IT,976,0.16188524590163936,0.18845564,179,211.47113032761118,21.667124008976554,0.29,operational
hr,601,0.18801996672212978,0.22335029,134,153.99770931948152,25.62357892171073,0.29,operational
accounting,621,0.17552334943639292,0.20468101,125,145.89016946542833,23.4927809123073,0.29,operational
marketing,673,0.1664190193164933,0.19342238,133,144.93012052096782,21.534936184393434,0.29,operational
product_mng,686,0.16034985422740525,0.18174161,126,142.5882509876239,20.785459327641966,0.29,operational
RandD,694,0.12247838616714697,0.15356094,107,120.95884940158139,17.429229020400776,0.29,operational
management,436,0.11926605504587157,0.14441055,61,71.889416801693,16.488398349012158,0.29,operational
